Created as New Dataset,
nm,%T
899.0,101.86
897.0,101.22
895.0,100.51
893.0,99.05
891.0,100.79
889.0,100.51
887.0,100.45
885.0,99.99
883.0,100.19
881.0,100.29
879.0,100.39
877.0,99.75
875.0,100.48
873.0,100.90
871.0,100.52
869.0,100.40
867.0,99.50
865.0,99.82
863.0,100.31
861.0,100.10
859.0,101.01
857.0,99.88
855.0,99.88
853.0,100.24
851.0,99.76
849.0,99.62
847.0,99.82
845.0,100.06
843.0,100.06
841.0,100.13
839.0,100.00
837.0,100.03
835.0,99.98
833.0,100.02
831.0,99.91
829.0,99.94
827.0,100.07
825.0,100.07
823.0,100.02
821.0,100.03
819.0,99.99
817.0,99.90
815.0,99.97
813.0,100.02
811.0,99.96
809.0,99.95
807.0,99.91
805.0,100.14
803.0,100.11
801.0,100.05
799.0,99.99
797.0,100.09
795.0,100.01
793.0,100.02
791.0,100.02
789.0,99.96
787.0,100.01
785.0,100.03
783.0,100.02
781.0,100.04
779.0,100.04
777.0,99.98
775.0,100.01
773.0,99.98
771.0,99.96
769.0,99.99
767.0,99.98
765.0,99.99
763.0,100.00
761.0,99.99
759.0,99.92
757.0,99.95
755.0,99.94
753.0,99.95
751.0,99.96
749.0,99.94
747.0,100.03
745.0,99.98
743.0,99.96
741.0,99.99
739.0,100.01
737.0,99.99
735.0,100.01
733.0,99.99
731.0,99.98
729.0,99.95
727.0,99.97
725.0,99.98
723.0,99.96
721.0,99.98
719.0,100.01
717.0,99.99
715.0,100.02
713.0,99.99
711.0,99.97
709.0,100.01
707.0,99.97
705.0,99.98
703.0,99.98
701.0,99.95
699.0,99.97
